id;text
1;Ty seš tak vybíravej/á, že ani vzduch ti nevoní. Sežer ten talíř a nemašli.
2;Hele, tohle není restaurace, tady se neobjednává. Buď sníš co ti dám, nebo si olízej lžíci.
3;Ty bys asi nejedl/a ani kdyby ti padal steak z nebe. Fajn, máš prázdnej talíř.
4;Nejseš náhodou příbuznej/á s mojí tchyní? Taky nic nechce a pak furt remcá.
5;Tak dobře, princezno/princi. Tady máš vzduch s příchutí ničeho. Dobrou chuť!
6;Víš co? Udělám ti sendvič z tvý kritiky. Ale počkat, to by bylo moc kyselý.
7;Gratuluji! Vyhráváš cenu za největšího fňukala v kuchyni. Odměna: prázdnej talíř.
8;S tebou bych se na pustým ostrově nechtěl/a ocitnout. Ty bys umřel/a hlady u plný ledničky.
9;OK, chápu. Jídlo je pro tebe jen zbytečná překážka mezi nářky. Tady máš nic.
10;Jestli ani tohle nechceš, tak ti doporučuju jíst slunce. Je zadarmo a není z toho tlustej/á.
11;Hele kámo, já ti nevaříme kvůli tobě, ale kvůli mně. A mně se to líbí.
12;Tvoje máma by z tebe brečela. Vlastně ne, ta by tě pravděpodobně vyhladověla.
13;Gratuluju, vyhrál/a jsi hlavní cenu - hlad! Užij si ho.
14;Fajn, tak si dej hřebíky. Ty jsou vždycky čerstvý a nikdo si na ně nestěžuje.
15;Ty bys odmítl/a i vodu, kdybych ti řekl/a že je mokrá.
