id;volba;tag
1;Dušená rýže;ryze
2;Italské špagety;testoviny
3;Aktivní uhlí;uhli
4;Krystalový cukr;cukr
5;Uzený losos;losos
6;Vepřová šunka;sunka
7;Kuřecí pařáty;kure
8;Netopýří křidýlka;netopyr
9;Delfíní filety;delfin
10;Motýlí křídla;motyl
11;Vanilková zmrzlina;zmrzlina
12;Poctivá šlehačka;slehacka
13;Lesní hřiby;hriby
14;Mořská řasa Nori;nori
15;Hořká čokoláda;coko
16;Olomoucké tvarůžky;tvaruzky
17;Kyselé okurky;okurka
18;Plátky citronu;citron
19;Chilli papričky;chilli
20;Česneková pasta;cesnek
21;Grilovaná poštolka;postolka
22;Smažená kočka;kocka
23;Restovaný sysel;sysel
24;Křupavé hranolky;hranolky
