id;nazev;tagy;obrazek;popis
1;Sushidrink z Netopýra;ryze|netopyr|nori;res_bat_sushi.webp;Křupavá křídla v rýžovém objetí. Pozor, po půlnoci může začít pípat nebo se pokusit odletět z talíře.
2;Uhelný dezert Popelka;uhli|cukr|zmrzlina;res_coal_dessert.webp;Dezert, který vám vybělí zuby naruby. Sladké jako první polibek v dole Hlubina.
3;Delfíní sen na špagetách;testoviny|delfin|citron;res_dolphin_pasta.webp;Elegance mořských hlubin na vašem talíři. Chutná to jako svoboda, mořská sůl a výčitky svědomí.
4;Motýlí lehkost s šlehačkou;motyl|slehacka|cukr;res_butterfly_cream.webp;Lehké jako vánek, barevné jako jarní louka. Jen ty nožičky a tykadla trochu lezou mezi zuby.
5;Hřibový šok v čokoládě;hriby|coko|testoviny;res_mushroom_choco.webp;Když se hluboký les potká s belgickou čokoládovnou v temné uličce. Kombinace, o kterou nikdo neprosil.
6;Kuřecí zmrzlina Pařát;kure|zmrzlina|chilli;res_chicken_ice.webp;Mražené osvěžení pro milovníky drůbeže. Ten pařát tam není na ozdobu, ten vás při jídle přísně hlídá.
7;Tvarůžkový donut s motýly;tvaruzky|motyl|cukr;res_cheese_butterfly.webp;Vůně, která probudí i sousedy ve vedlejším vchodě, jemně ozdobená křehkou krásou přírody.
8;Netopýří guláš v řase;netopyr|nori|cesnek;res_bat_stew.webp;Tradiční jeskynní receptura v mořském kabátku. Česnekem jsme nešetřili, takže upíři nemají nejmenší šanci.
9;Sladký losos Barbie;losos|slehacka|cukr;res_pink_salmon.webp;Růžová jízda pro otrlé strávníky. Ryba v cukrovém oparu, ze které by i Kenovi naskočila vyrážka.
10;Uhelné špagety Ostravsko;testoviny|uhli|cesnek;res_coal_pasta.webp;Poctivá porce energie přímo z hloubky 800 metrů. Drsná chuť černého zlata a česnekového dechu.
11;Delfíní tatarák s okurkou;delfin|okurka|ryze;res_dolphin_tartar.webp;Modravá jemnost v kyselém doprovodu. Servíruje se za povinného poslechu šumění mušlí.
12;Motýlí rizoto LOUKA;ryze|motyl|hriby;res_butterfly_risotto.webp;Symfonie barev a rýže. Každé sousto chutná jako jarní deprese v botanické zahradě.
13;Čokoládový netopýr v županu;netopyr|coko|testo;res_bat_choco.webp;Smažená křídla v sametovém kakau. Křupne to dřív, než stačíte říct 'akutní respirační syndrom'.
14;Kyselý kuřecí koktejl;kure|citron|zmrzlina;res_sour_chicken.webp;Rozmixované sny o nedělním obědě s citrónovou tečkou. Doporučujeme pít na ex, než se oddělí tuk od zmrzliny.
15;Tvarůžková rýže Smrtihlav;tvaruzky|ryze|chilli;res_stinky_rice.webp;Smrdí to, pálí to a vypadá to podezřele. Ale rýže je tam dost, aby vás to hned neporazilo.
16;Uhelný losos v čokoládě;losos|uhli|coko;res_coal_salmon.webp;Uhlí na povrchu, ryba uvnitř, čokoláda všude. Vrchol kulinářského nihilismu pro pokročilé.
17;Zmrzlinové sushi s šunkou;ryze|zmrzlina|sunka;res_ham_ice_sushi.webp;Mrazivá šunka v rýžovém válečku. Ideální pro lidi, co nevědí co se životem a chtějí to vědět studené.
18;Delfíní křídla na česneku;delfin|cesnek|nori;res_dolphin_garlic.webp;Česnekový masakr mořské fauny. Vaše dýchání bude po konzumaci tohoto pokrmu považováno za trestný čin.
19;Sladký hřibový pohár;hriby|slehacka|cukr;res_mushroom_cup.webp;Houbová nadílka v nadýchaném krému. Lesní plody jsme v kuchyni nenašli, tak jsme tam prostě nasekali hřiby.
20;Pikantní motýlí polévka;motyl|chilli|testoviny;res_spicy_butterfly.webp;Pikantní vývar z dětství stráveného se síťkou na motýly. Pálí to dvakrát – jednou v puse a jednou v duši.
21;Netopýří křídlo v cukru;netopyr|cukr|citron;res_sweet_bat.webp;Kandovaná křídla pro ty, co mají rádi kůži v karamelu. Křupavější než ty nejlevnější brambůrky.
22;Uhelné kuře s řasou;kure|uhli|nori;res_coal_chicken.webp;Vypadá to jako zapomenutý zbytek z loňského grilování, ale ve skutečnosti je to luxusní prach z aktivního uhlí.
23;Delfíní špagety s čokoládou;delfin|testoviny|coko;res_dolphin_choco.webp;Itálie se potkává s Atlantikem a čokoládovnou. Výsledek vás donutí vážně přemýšlet o smyslu existence.
24;Tvarůžková zmrzlina s chilli;tvaruzky|zmrzlina|chilli;res_cheese_ice_chilli.webp;Osvěžení, které pálí v krku a voní jako týden nošené ponožky. Zážitková gastronomie v té nejčistší formě.
25;Hřibové šunkové smoothie;hriby|sunka|ryze;res_ham_mushroom.webp;Tekutá svačinka pro lidi v běhu. Chutná to jako rozmixovaná šatna fotbalového týmu v dubovém lese.
26;Cukrový losos s česnekem;losos|cukr|cesnek;res_sugar_salmon.webp;Když se nemůžete rozhodnout, jestli chcete dezert nebo předkrm. Česnek vám pak sladce poděkuje.
27;Netopýří pasta Vampír;testoviny|netopyr|chilli;res_vampire_pasta.webp;Rudé špagety s kousky noční oblohy. Jídlo, které na vás bude z talíře smutně koukat, dokud ho nesníte.
28;Uhelný hřibový dort;uhli|hriby|cukr;res_coal_mushroom_cake.webp;Temný jako vaše nejhorší vzpomínky, houbový jako starý sklep. Sladká tečka za vaší příčetností.
29;Delfíní šunka v řase;delfin|sunka|nori;res_dolphin_ham.webp;Mořská šunka v pevném obětí řasy. Ideální svačina pro trosečníky, kteří mají velmi vysoké nároky.
